phone,name,account,notes
16052257440,Aberdeen Catholic School System,Aberdeen Catholic School System,"Aberdeen, South Dakota | Education | aberdeenroncalli.org"
+1.605.225.2053,"Aberdeen Christian School, SD","Aberdeen Christian School, SD","Aberdeen, South Dakota | Education: Lower Education | http://www.aberdeenchristianschool.com/"
16413225229,Adams Community,Adams Community,"Corning, Iowa | Business Services | adamscountyiowa.com"
+1.605.258.2618,Agar-Blunt-Onida School District,Agar-Blunt-Onida School District,"Onida, South Dakota | Education: Lower Education | abo.k12.sd.us"
3083855074,"AHEC, NE","AHEC, NE","Grand Island, Nebraska | Education | www.cn-ahec.org"
+1.402.387.2494,"Ainsworth, NE","Ainsworth, NE","Ainsworth, Nebraska | Government: Local | www.ainsworthchamber.com"
+1.712.843.5613,"Albert City, IA","Albert City, IA","Albert City, Iowa | Government: Local | www.albertcity.lib.ia.us"
+1.641.932.7142,"Albia, IA","Albia, IA","Albia, Iowa | Government: Local | www.mchalbia.com"
+1.402.395.6012,"Albion, NE","Albion, NE","Albion, Nebraska | Government: Local | www.cityofalbion-ne.com"
+1.605.934.1890,"Alcester-Hudson School District, SD","Alcester-Hudson School District, SD","Alcester, South Dakota | Education: Lower Education | www.alcester-hudson.k12.sd.us"
+1.515.295.5476,"Algona Public Library, IA","Algona Public Library, IA","Algona, Iowa | Government: Local | www.ci.algona.ia.us/notfound.aspx"
5635683522,Allamakee County,Allamakee County,"Waukon, Iowa | Government: Local | https://allamakeecounty.iowa.gov/"
+1.308.928.2341,"Alma, NE","Alma, NE","Alma, Nebraska | Government: Local | www.almacity.com/"
+1.712.200.1533,"Alta, IA","Alta, IA","Alta, Iowa | Government: Local | www.alta-tec.net"
+1.712.756.4314,"Alton, IA","Alton, IA","Alton, Iowa | Government: Local | www.altoniowa.org"
5159675136,Altoona,Altoona,"Altoona, Iowa | Government: Local | http://www.altoona-iowa.com/"
+1.515.243.3988,American Civil Liberties Union of Iowa Foundation,American Civil Liberties Union of Iowa Foundation,"Des Moines, Iowa | Business Services | www.aclu.org"
+13193621488,"American College of Hairstyling-Cedar Rapids, IA","American College of Hairstyling-Cedar Rapids, IA","Cedar Rapids, Iowa | Education: Higher Education | americancollegeofhair.com"
+1.515.244.0971,"American College of Hairstyling-Des Moines, IA","American College of Hairstyling-Des Moines, IA","Des Moines, Iowa | Education: Higher Education | www.americancollegeofhair.com"
+1.319.219.6248,"American Hair Academy, IA","American Hair Academy, IA","Fort Madison, Iowa | Education: Higher Education | americanhairacademy.com"
+1.515.239.5646,"Ames Public Library Foundation, IA","Ames Public Library Foundation, IA","Ames, Iowa | Government: Local | www.amespubliclibrary.org"
605-487-5211,"Andes Central School District, NE","Andes Central School District, NE","Lake Andes, South Dakota | Education: Lower Education | www.andescentral.k12.sd.us"
712-762-3639,Anita Public Library,Anita Public Library,"Anita, Iowa | Education | www.anitalibrary.org"
+1.402.887.4410,"Antelope County, NE","Antelope County, NE","Neligh, Nebraska | Government: Local | www.co.antelope.ne.us/"
+1.319.347.2425,"Aplington, IA","Aplington, IA","Aplington, Iowa | Government: Local | aplingtonia.com"
+1.308.962.7445,"Arapahoe, NE","Arapahoe, NE","Arapahoe, Nebraska | Government: Local | www.arapahoenebraska.com"
(563) 556-2580,"Archdiocese of Dubuque, IA","Archdiocese of Dubuque, IA","Dubuque, Iowa | Business Services | www.arch.pvt.k12.ia.us"
+1.605.983.5597,"Arlington School District, SD","Arlington School District, SD","Arlington, South Dakota | Education: Lower Education | arlington.k12.sd.us/"
+1.605.983.5251,"Arlington, SD","Arlington, SD","Arlington, South Dakota | Government: Local | www.arlingtonsd.com"
605-724-2153,"Armour School District, SD","Armour School District, SD","Armour, South Dakota | Education: Lower Education | armour.k12.sd.us"
+1.712.332.2183,"Arnolds Park, IA","Arnolds Park, IA","Arnolds Park, Iowa | Government: Local | www.arnoldsparkcity.com"
5152230914,"Ashworth Road Baptist Church, IA","Ashworth Road Baptist Church, IA","West Des Moines, Iowa | Education | www.ashworthroadbc.com"
605-229-0263,Aspire SD,Aspire SD,"Aberdeen, South Dakota | Education: Lower Education | aspiresd.org"
7122434810,Atlantic,Atlantic,"Atlantic, Iowa | Government: Local | http://www.cityofatlantic.com"
712-243-5466,"Atlantic Public Library, IA","Atlantic Public Library, IA","Atlantic, Iowa | Education | www.atlantic.lib.ia.us"
7125633500,Audubon County,Audubon County,"Audubon, Iowa | Government: Local | https://www.auduboncountyia.gov/"
712-563-5291,Audubon County Memorial Hospital & Clinics,Audubon County Memorial Hospital & Clinics,"Audubon, Iowa | Nonprofit | www.acmhhosp.org"
+1.712.563.2607,"Audubon CSD, IA","Audubon CSD, IA","audubon, iowa | Education: Lower Education | www.audubon.k12.ia.us/"
+1.712.563.2152,"Audubon, IA","Audubon, IA","Audubon, Iowa | Government: Local | www.auduboncounty.com"
6053360770,"Augustana University, SD","Augustana University, SD","SIOUX FALLS, South Dakota | Education: Higher Education | WWW.AUGIE.EDU"
+1.605.942.7754,"Aurora County, SD","Aurora County, SD","Plankinton, South Dakota | Government: Local | www.auroracounty4h.net"
+1.402.916.9777,"Avenue Scholars Foundation, NE","Avenue Scholars Foundation, NE","Omaha, Nebraska | Business Services | www.avescholars.org"
605-286-3291 Ext. 37,Avon School District 4-1,Avon School District 4-1,"Avon, South Dakota | Education: Lower Education | avon.k12.sd.us"
605-529-5464,"Baltic School District, SD","Baltic School District, SD","baltic, South Dakota | Education: Lower Education | balticschool.org"
+1.402.528.3253,"Beemer Village, NE","Beemer Village, NE","Beemer, Nebraska | Government: Local | www.cumingco.com"
605-892-4407,"Belle Fourche Public Library, SD","Belle Fourche Public Library, SD","Belle Fourche, South Dakota | Education | www.bellefourchechamber.org"
+1.605.723.3355,Belle Fourche School District,Belle Fourche School District,"Belle Fourche, South Dakota | Education: Lower Education | www.bellefourche.k12.sd.us"
+16414444452,"Belmond, IA","Belmond, IA","Belmond, Iowa | Government: Local | www.belmondiowa.com/"
+13084232540,"Benkelman, NE","Benkelman, NE","Benkelman, Nebraska | Government: Local"
6056851089,Bennett County Emergency Management,Bennett County Emergency Management,"Martin, South Dakota | Hospitals | goldenwest.net"
+1.605.685.6112,"Bennett County School District, SD","Bennett County School District, SD","Martin, South Dakota | Education: Lower Education | http://www.bennettco.k12.sd.us/"
402-6691529,"Bennington Vol Fire and Rescue, NE","Bennington Vol Fire and Rescue, NE","Bennington, Nebraska | Government | www.benningtonfirerescue.com"
605-763-2782,"Beresford Public Library, SD","Beresford Public Library, SD","Beresford, South Dakota | Education | beresfordlibrary.com"
+1.605.763.5012,"Beresford School District, SD","Beresford School District, SD","Beresford, South Dakota | Education: Lower Education | www.beresford.k12.sd.us/"
515-232-6556,"Bethesda Luthern Church, IA","Bethesda Luthern Church, IA","Ames, Iowa | Education | www.bethesdanet.org"
+1.712.252.2066,"Bio-Chi Institute of Massage Therapy, IA","Bio-Chi Institute of Massage Therapy, IA","Sioux City, Iowa | Education: Higher Education | www.bci.edu/Home_Page.html"
16053363644,Bishop O'Gorman High School,Bishop O'Gorman High School,"Sioux Falls, South Dakota | Education | ogknights.org"
605-244-5273,"Bison School, SD","Bison School, SD","Bison, South Dakota | Education: Lower Education | bison.k12.sd.us"
