account_name,phone,state,call_type,talk_track
Chester School  SD,+16054892411,South Dakota,erate,"Hi, this is Samson with Fortinet — following up on your 2026 E-Rate qualification to see if you've identified your top priorities so I can get you a proposal before the filing deadline."
Tripp- Delmont School District 33-5  SD,+16059356766,South Dakota,erate,"Hi, this is Samson with Fortinet — following up on your 2026 E-Rate qualification to see if you've identified your top priorities so I can get you a proposal before the filing deadline."
Christ Lutheran School  NE,+14024052662,Nebraska,erate,"Hi, this is Samson with Fortinet — we're in a strong position on your 2026 E-Rate project at Christ Lutheran School  NE and I wanted to touch base before the submission deadline to confirm we have everything lined up on your end."
Bishop O'Gorman High School,+16053363644,South Dakota,erate,"Hi, this is Samson with Fortinet — I'm reaching out to schedule a quick meeting on your 2026 E-Rate opportunity; the window is closing fast and I want to make sure we get your proposal submitted in time."
Parkston School District  SD,+16059283368,South Dakota,erate,"Hi, this is Samson with Fortinet — I'm reaching out to schedule a quick meeting on your 2026 E-Rate opportunity; the window is closing fast and I want to make sure we get your proposal submitted in time."
Orange City Public Library IA,+17127074302,Iowa,erate,"Hi, this is Samson from Fortinet — I wanted to reach out because your organization may qualify for E-Rate Category 2 funding this year, and Fortinet's firewall and switch solutions can often be fully covered."
Wall School District (SD) - ISD 51-5,+16052792156,South Dakota,erate,"Hi, this is Samson from Fortinet — I wanted to reach out because your organization may qualify for E-Rate Category 2 funding this year, and Fortinet's firewall and switch solutions can often be fully covered."
MOC-Floyd Valley CSD  IA,+17127374873,Iowa,erate,"Hi, this is Samson with Fortinet — we're in a strong position on your 2026 E-Rate project at MOC-Floyd Valley CSD  IA and I wanted to touch base before the submission deadline to confirm we have everything lined up on your end."
Walcott  IA,+15632846571,Iowa,followup,"Hi, this is Samson from Fortinet — just checking in with Walcott  IA to see how things are going and whether there's anything on the network or security side we can help with this spring."
Capri College-Davenport  IA,+15633886642,Iowa,followup,"Hi, this is Samson from Fortinet — just checking in with Capri College-Davenport  IA to see how things are going and whether there's anything on the network or security side we can help with this spring."
Benkelman  NE,+13084232540,Nebraska,followup,"Hi, this is Samson from Fortinet — just checking in with Benkelman  NE to see how things are going and whether there's anything on the network or security side we can help with this spring."
Clark School District (SD) - ISD 12-2,+16055323603,South Dakota,followup,"Hi, this is Samson from Fortinet — just checking in with Clark School District (SD) - ISD 12-2 to see how things are going and whether there's anything on the network or security side we can help with this spring."
Bethesda Luthern Church  IA,+15152326556,Iowa,followup,"Hi, this is Samson from Fortinet — just checking in with Bethesda Luthern Church  IA to see how things are going and whether there's anything on the network or security side we can help with this spring."
Elkton School District  SD,+16055422541,South Dakota,followup,"Hi, this is Samson from Fortinet — just checking in with Elkton School District  SD to see how things are going and whether there's anything on the network or security side we can help with this spring."
City of Washington  IA,+13196536584,Iowa,followup,"Hi, this is Samson from Fortinet — just checking in with City of Washington  IA to see how things are going and whether there's anything on the network or security side we can help with this spring."
Frontier County  NE,+13083678641,Nebraska,followup,"Hi, this is Samson from Fortinet — just checking in with Frontier County  NE to see how things are going and whether there's anything on the network or security side we can help with this spring."
County of Colfax  NE,+14023528519,Nebraska,followup,"Hi, this is Samson from Fortinet — just checking in with County of Colfax  NE to see how things are going and whether there's anything on the network or security side we can help with this spring."
SPALDING ACADEMY SCHOOL  NE,+13084972103,Nebraska,followup,"Hi, this is Samson from Fortinet — just checking in with SPALDING ACADEMY SCHOOL  NE to see how things are going and whether there's anything on the network or security side we can help with this spring."
Hemingford Village  NE,+13084873462,Nebraska,followup,"Hi, this is Samson from Fortinet — just checking in with Hemingford Village  NE to see how things are going and whether there's anything on the network or security side we can help with this spring."
Williamsburg  IA,+13196681311,Iowa,followup,"Hi, this is Samson from Fortinet — just checking in with Williamsburg  IA to see how things are going and whether there's anything on the network or security side we can help with this spring."
Hamilton County Assessor's Office  NE,+14026942757,Nebraska,followup,"Hi, this is Samson from Fortinet — just checking in with Hamilton County Assessor's Office  NE to see how things are going and whether there's anything on the network or security side we can help with this spring."
Saint (St.) Malachy School / Creston  IA,+16417827125,Iowa,followup,"Hi, this is Samson from Fortinet — just checking in with Saint (St.) Malachy School / Creston  IA to see how things are going and whether there's anything on the network or security side we can help with this spring."
City of Crete,+14028264313,Nebraska,followup,"Hi, this is Samson from Fortinet — just checking in with City of Crete to see how things are going and whether there's anything on the network or security side we can help with this spring."
City of Orange City  IA,+17127071000,Iowa,followup,"Hi, this is Samson from Fortinet — just checking in with City of Orange City  IA to see how things are going and whether there's anything on the network or security side we can help with this spring."
County of Greene,+15153865650,Iowa,followup,"Hi, this is Samson from Fortinet — just checking in with County of Greene to see how things are going and whether there's anything on the network or security side we can help with this spring."
