account_name,phone,state,call_type,talk_track
Britton-Hecla School,+16054482234,SD,deal_followup,"Hi, this is Samson with Fortinet — following up on your current project. We're tracking toward a 2026-03-19 close and I want to make sure we have everything lined up on your end."
Faulkton Area Schools,+16055986266,SD,deal_followup,"Hi, this is Samson with Fortinet — following up on your current project. We're tracking toward a 2026-03-19 close and I want to make sure we have everything lined up on your end."
Christ Lutheran School NE,+14024052662,NE,deal_followup,"Hi, this is Paul calling from Fortinet. I work with school districts in your area on E-Rate. I saw Christ Lutheran has a Form 470 application filed — Category 2 funding can cover up to 85% of firewall costs and the filing window closes tomorrow, March 20. I wanted to make sure Samson connected with you about Fortinet's E-Rate pricing before the window closes. Is this Michael Roth or the best person to discuss this with?"
Q1-2026-Renewal-Butler County REC,+15635683522,IA,deal_followup,"Hi, this is Samson with Fortinet — following up on your current project. We're tracking toward a 2026-03-20 close and I want to make sure we have everything lined up on your end."
Tiospaye Topa,+16057332290,SD,deal_followup,"Hi, this is Samson with Fortinet — following up on your current project. We're tracking toward a 2026-03-26 close and I want to make sure we have everything lined up on your end."
Winnebago Tribe,+14028783100,NE,deal_followup,"Hi, this is Samson with Fortinet — following up on your current project. We're tracking toward a 2026-03-27 close and I want to make sure we have everything lined up on your end."
Crew Public Library,+13192589007,IA,deal_followup,"Hi, this is Samson with Fortinet — following up on your current project. We're tracking toward a 2026-03-27 close and I want to make sure we have everything lined up on your end."
Wessington Springs SD,+16055399391,SD,deal_followup,"Hi, this is Samson with Fortinet — following up on your current project. We're tracking toward a 2026-03-31 close and I want to make sure we have everything lined up on your end."
Lenox Municipal Utilities,+16413332228,IA,deal_followup,"Hi, this is Samson with Fortinet — following up on your current project. We're tracking toward a 2026-03-31 close and I want to make sure we have everything lined up on your end."
"Aberdeen Christian School, SD",+16052252053,SD,erate,"Hi, this is Samson with Fortinet — I work with a number of school districts in your area on their E-Rate projects. Category 2 funding covers up to 85 percent of firewall costs, and the filing window is closing soon. I wanted to see if you've looked at what your eligibility covers this year."
Agar-Blunt-Onida School District,+16052582618,SD,erate,"Hi, this is Samson with Fortinet — I work with a number of school districts in your area on their E-Rate projects. Category 2 funding covers up to 85 percent of firewall costs, and the filing window is closing soon. I wanted to see if you've looked at what your eligibility covers this year."
"AHEC, NE",+13083855074,NE,erate,"Hi, this is Samson with Fortinet — I work with a number of school districts in your area on their E-Rate projects. Category 2 funding covers up to 85 percent of firewall costs, and the filing window is closing soon. I wanted to see if you've looked at what your eligibility covers this year."
"Alcester-Hudson School District, SD",+16059341890,SD,erate,"Hi, this is Samson with Fortinet — I work with a number of school districts in your area on their E-Rate projects. Category 2 funding covers up to 85 percent of firewall costs, and the filing window is closing soon. I wanted to see if you've looked at what your eligibility covers this year."
"American College of Hairstyling-Cedar Rapids, IA",+13193621488,IA,erate,"Hi, this is Samson with Fortinet — I work with a number of school districts in your area on their E-Rate projects. Category 2 funding covers up to 85 percent of firewall costs, and the filing window is closing soon. I wanted to see if you've looked at what your eligibility covers this year."
"American College of Hairstyling-Des Moines, IA",+15152440971,IA,erate,"Hi, this is Samson with Fortinet — I work with a number of school districts in your area on their E-Rate projects. Category 2 funding covers up to 85 percent of firewall costs, and the filing window is closing soon. I wanted to see if you've looked at what your eligibility covers this year."
"American Hair Academy, IA",+13192196248,IA,erate,"Hi, this is Samson with Fortinet — I work with a number of school districts in your area on their E-Rate projects. Category 2 funding covers up to 85 percent of firewall costs, and the filing window is closing soon. I wanted to see if you've looked at what your eligibility covers this year."
"Andes Central School District, NE",+16054875211,SD,erate,"Hi, this is Samson with Fortinet — I work with a number of school districts in your area on their E-Rate projects. Category 2 funding covers up to 85 percent of firewall costs, and the filing window is closing soon. I wanted to see if you've looked at what your eligibility covers this year."
Anita Public Library,+17127623639,IA,erate,"Hi, this is Samson with Fortinet — I work with a number of school districts in your area on their E-Rate projects. Category 2 funding covers up to 85 percent of firewall costs, and the filing window is closing soon. I wanted to see if you've looked at what your eligibility covers this year."
