phone,name,account,notes
16052252053,"Aberdeen Christian School, SD","Aberdeen Christian School, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16052582618,Agar-Blunt-Onida School District,Agar-Blunt-Onida School District,State: SD | Vertical: Education: Lower Education | CallCount: 0
16059341890,"Alcester-Hudson School District, SD","Alcester-Hudson School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6054875211,"Andes Central School District, NE","Andes Central School District, NE",State: SD | Vertical: Education: Lower Education | CallCount: 0
16059835597,"Arlington School District, SD","Arlington School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6057242153,"Armour School District, SD","Armour School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6052290263,Aspire SD,Aspire SD,State: SD | Vertical: Education: Lower Education | CallCount: 0
17125632607,"Audubon CSD, IA","Audubon CSD, IA",State: IA | Vertical: Education: Lower Education | CallCount: 0
605286329137,Avon School District 4-1,Avon School District 4-1,State: SD | Vertical: Education: Lower Education | CallCount: 0
6055295464,"Baltic School District, SD","Baltic School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16057233355,Belle Fourche School District,Belle Fourche School District,State: SD | Vertical: Education: Lower Education | CallCount: 0
16056856112,"Bennett County School District, SD","Bennett County School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16057635012,"Beresford School District, SD","Beresford School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6052445273,"Bison School, SD","Bison School, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16055893388,"Bon Homme School District, SD","Bon Homme School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6056542314,"Bonesteel-Fairfax School, SD","Bonesteel-Fairfax School, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16052856272,Bowdle City School District (SD) ISD - 22-1,Bowdle City School District (SD) ISD - 22-1,State: SD | Vertical: Education: Lower Education | CallCount: 0
16054494271,"Bridgewater-Emery School District, SD","Bridgewater-Emery School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6054482234,"Britton-Hecla School, NE","Britton-Hecla School, NE",State: SD | Vertical: Education: Lower Education | CallCount: 0
4025563772,"Brownell-Talbot College Preparatory School, NE","Brownell-Talbot College Preparatory School, NE",State: NE | Vertical: Education: Lower Education | CallCount: 0
16057752644,"Burke School District, SD","Burke School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6052963458,"Canistota School District, SD","Canistota School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16057642706,"Canton School District, SD","Canton School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16057932351,Castlewood School District (SD) ISD - 28-1,Castlewood School District (SD) ISD - 28-1,State: SD | Vertical: Education: Lower Education | CallCount: 0
13192321422,"Cedar Valley Catholic Schools, IA","Cedar Valley Catholic Schools, IA",State: IA | Vertical: Education: Lower Education | CallCount: 0
3193667462,"Cedar Valley Christian School, IA","Cedar Valley Christian School, IA",State: IA | Vertical: Education: Lower Education | CallCount: 0
6052344477,"Chamberlain School District, SD","Chamberlain School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6054892411,"Chester School, SD","Chester School, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
4024837774,"Christ Lincoln Schools, NE","Christ Lincoln Schools, NE",State: NE | Vertical: Education: Lower Education | CallCount: 0
4024052662,"Christ Lutheran School, NE","Christ Lutheran School, NE",State: NE | Vertical: Education: Lower Education | CallCount: 0
15152852888,"Christ The King School, IA","Christ The King School, IA",State: IA | Vertical: Education: Lower Education | CallCount: 0
13086483336,City of Bancroft-Rosalie Community School District,City of Bancroft-Rosalie Community School District,State: NE | Vertical: Education: Lower Education | CallCount: 0
16055323603,Clark School District (SD) - ISD 12-2,Clark School District (SD) - ISD 12-2,State: SD | Vertical: Education: Lower Education | CallCount: 0
6055343534,"Colman-Egan School District, SD","Colman-Egan School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16058421624,Colome Consolidated (SD) ISD - 59-3,Colome Consolidated (SD) ISD - 59-3,State: SD | Vertical: Education: Lower Education | CallCount: 0
4029653534,Concordia Lutheran Schools Of Omaha,Concordia Lutheran Schools Of Omaha,State: NE | Vertical: Education: Lower Education | CallCount: 0
16054626792,"Crazy Horse School, SD","Crazy Horse School, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
4025483892,"Creighton Preparatory School, NE","Creighton Preparatory School, NE",State: NE | Vertical: Education: Lower Education | CallCount: 0
16056733154,Custer School District (SD) - ISD16-1,Custer School District (SD) - ISD16-1,State: SD | Vertical: Education: Lower Education | CallCount: 0
6054223800,"Dakota Valley School District, SD","Dakota Valley School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16058543176,De Smet School District (SD) - ISD 38-2,De Smet School District (SD) - ISD 38-2,State: SD | Vertical: Education: Lower Education | CallCount: 0
16053668612,Dell Rapids School District (SD) - ISD 49-3,Dell Rapids School District (SD) - ISD 49-3,State: SD | Vertical: Education: Lower Education | CallCount: 0
6056291115,"Deubrook Area Schools, SD","Deubrook Area Schools, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6056356302,Doland School District (SD) - ISD 56-1,Doland School District (SD) - ISD 56-1,State: SD | Vertical: Education: Lower Education | CallCount: 0
14025572120,Douglas County School District,Douglas County School District,State: NE | Vertical: Education: Lower Education | CallCount: 0
5158524164,"Dows CSD, IA","Dows CSD, IA",State: IA | Vertical: Education: Lower Education | CallCount: 0
6053655140,"Dupree School, SD","Dupree School, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16059644911,Eagle Butte School District (SD) - ISD 20-1,Eagle Butte School District (SD) - ISD 20-1,State: SD | Vertical: Education: Lower Education | CallCount: 0
6053565990,"Elk Point-Jefferson School District, SD","Elk Point-Jefferson School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6055422541,"Elkton School District, SD","Elkton School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6058732201,"Estelline High School, SD","Estelline High School, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16058732201,Estelline School District (SD) - ISD 28-2,Estelline School District (SD) - ISD 28-2,State: SD | Vertical: Education: Lower Education | CallCount: 0
6052842875101,"Eureka Public School District, SD","Eureka Public School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6059672152,"Faith School District, SD","Faith School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
60559862665,"Faulkton Area Schools 24-4, SD","Faulkton Area Schools 24-4, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6059973263,"Flandreau Public Schools, IA","Flandreau Public Schools, IA",State: SD | Vertical: Education: Lower Education | CallCount: 0
16057582412,"Florence School District 14-1, SD","Florence School District 14-1, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6053292145,"Frederick Area School District, SD","Frederick Area School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16059254214,"Freeman School District 33-1, SD","Freeman School District 33-1, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16055943452,"Garretson School District, SD","Garretson School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16052674476,"Gayville-Volin School District 63-1, SD","Gayville-Volin School District 63-1, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6057652436,"Gettysburg School District, SD","Gettysburg School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16058358771,"Gregory School District 26-4, SD","Gregory School District 26-4, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6053978381,"Groton Area School District, SD","Groton Area School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
14023725326,"Guardian Angels Central Catholic, NE","Guardian Angels Central Catholic, NE",State: NE | Vertical: Education: Lower Education | CallCount: 0
6058592679,Haakon School District (SD) - ISD 27-1,Haakon School District (SD) - ISD 27-1,State: SD | Vertical: Education: Lower Education | CallCount: 0
6057833631,"Hamlin School District, SD","Hamlin School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16052394387,"Hanson School District 30-1, SD","Hanson School District 30-1, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6053753241,"Harding County School District, SD","Harding County School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
3195923600,"Harmony Community School District, IA","Harmony Community School District, IA",State: IA | Vertical: Education: Lower Education | CallCount: 0
6058522275,"Highmore-Harrold School District, SD","Highmore-Harrold School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16055743030,"Hill City School District, SD","Hill City School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16052662151,"Hitchcock Tulare School District 56-6, SD","Hitchcock Tulare School District 56-6, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16057454145,"Hot Springs School District, SD","Hot Springs School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6059482252,"Hoven School District, SD","Hoven School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16057724676,"Howard School District 48-3, SD","Howard School District 48-3, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16418642211,"Hubbard-Radcliffe Community School District, IA","Hubbard-Radcliffe Community School District, IA",State: IA | Vertical: Education: Lower Education | CallCount: 0
6053957497,"Hutterville School, SD","Hutterville School, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6054266561,Ipswich Public School District (SD) -ISD 22-6,Ipswich Public School District (SD) -ISD 22-6,State: SD | Vertical: Education: Lower Education | CallCount: 0
16052633311,"Irene - Wakonda School District 13-3, SD","Irene - Wakonda School District 13-3, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16055462210,"Iroquois School District 02-3, SD","Iroquois School District 02-3, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6058372175,Kadoka Area School District (SD) ISD - 35-1,Kadoka Area School District (SD) ISD - 35-1,State: SD | Vertical: Education: Lower Education | CallCount: 0
16057786231,"Kimball School District 07-2, SD","Kimball School District 07-2, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6058474455,"Lake Preston School District, SD","Lake Preston School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6054936454,"Langford School District, SD","Langford School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16057173890,"Lead-Deadwood School District 40-1, SD","Lead-Deadwood School District 40-1, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6053743762,"Lemmon School, SD","Lemmon School, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16056472203,"Lennox School District 41-4, SD","Lennox School District 41-4, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
16054393143,"Leola School District 44-2, SD","Leola School District 44-2, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
3083772301,"Leyton Public Schools, NE","Leyton Public Schools, NE",State: NE | Vertical: Education: Lower Education | CallCount: 0
7128303366,"Lil Wildcat Education Center, Inc., IA","Lil Wildcat Education Center, Inc., IA",State: IA | Vertical: Education: Lower Education | CallCount: 0
6054556150,"Little Wound School, SD","Little Wound School, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6058676875,"Loneman Day School, SD","Loneman Day School, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6054730215,"Lower Brule Schools, SD","Lower Brule Schools, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6058692213,"Lyman School District, SD","Lyman School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
6052567700,"Madison Central School District, SD","Madison Central School District, SD",State: SD | Vertical: Education: Lower Education | CallCount: 0
